Timestamp,"Link ID","Link Text","Original URL","Search Query","Resulting URL",Status,Notes
"2025-11-14 14:14:04",1,"RollerDisco SF Pride w/ Kathy Sledge",https://dothebay.com/events/2025/6/29/rollerdisco-sf-pride-w-kathy-sledge-more-tickets,,,FAILURE,"Failed intelligent liveness check. Attempting Refresh Search."
"2025-11-14 14:14:05",1,"RollerDisco SF Pride w/ Kathy Sledge",https://dothebay.com/events/2025/6/29/rollerdisco-sf-pride-w-kathy-sledge-more-tickets,https://www.googleapis.com/customsearch/v1?key=AIzaSyBVhmsn6mUY3S6E1590imj63BxAGSZ8cuI&cx=94977512e98b54f97&q=https%3A%2F%2Fdothebay.com%2Fevents%2F2025%2F6%2F29%2Frollerdisco-sf-pride-w-kathy-sledge-more-tickets&num=1,,SEARCH_SUCCESS,"refresh search returned 1 results for evaluation."
"2025-11-14 14:14:05",1,"RollerDisco SF Pride w/ Kathy Sledge",https://dothebay.com/events/2025/6/29/rollerdisco-sf-pride-w-kathy-sledge-more-tickets,,https://dothebay.com/events/2025/6/29/rollerdisco-sf-pride-a-benefit-for-san-francisco-pride-and-folsom-street-tickets,SUCCESS,"URL corrected via refresh search."
"2025-11-14 14:14:07",2,"Tuesday Night Skate San Francisco",https://skateterminal.com/events/tuesday-night-skate-san-francisco/,,https://skateterminal.com/events/tuesday-night-skate-san-francisco/,SUCCESS,"Passed intelligent liveness check."
"2025-11-14 14:15:05",1,"Skate Golden Gate - Skate Week San Francisco 2025",https://www.churchof8wheels.com/skate-week-2025,,,FAILURE,"Failed intelligent liveness check. Attempting Refresh Search."
"2025-11-14 14:15:05",1,"Skate Golden Gate - Skate Week San Francisco 2025",https://www.churchof8wheels.com/skate-week-2025,https://www.googleapis.com/customsearch/v1?key=AIzaSyBVhmsn6mUY3S6E1590imj63BxAGSZ8cuI&cx=94977512e98b54f97&q=https%3A%2F%2Fwww.churchof8wheels.com%2Fskate-week-2025&num=1,,SEARCH_SUCCESS,"refresh search returned 1 results for evaluation."
"2025-11-14 14:15:05",1,"Skate Golden Gate - Skate Week San Francisco 2025",https://www.churchof8wheels.com/skate-week-2025,,http://www.churchof8wheels.com/,SUCCESS,"URL corrected via refresh search."
"2025-11-14 14:15:06",2,"Golden Gate Park Sunday Roller Disco Party",https://sf.funcheap.com/golden-gate-park-sunday-roller-disco-party-sf/,,https://sf.funcheap.com/golden-gate-park-sunday-roller-disco-party-sf/,SUCCESS,"Passed intelligent liveness check."
"2025-11-14 14:15:07",3,"Tuesday Night Skate",https://skateterminal.com/sfevents/tuesday-night-skate-san-francisco/,,https://skateterminal.com/sfevents/tuesday-night-skate-san-francisco/,SUCCESS,"Passed intelligent liveness check."
"2025-11-14 14:16:10",1,"Original San Francisco Friday Night Skate",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHhnKQ2-G3T8JhEx6EVzGhaW7q55YhRr5RNDjbkxw8lBE70eDSf_DYieCNzXVxRAH18n3YLOq39HRJUY1y2UFVcPL8_OgtyBUXqz28UCd-Bu8aX_KLlNWGNVYrpLSj1EUPo45dFSKXKbzrdmx-CJ4O783spQCLg4Cr32wqQoRuEM6nvbnIcOlKA,,https://skateterminal.com/event/the-original-san-francisco-friday-night-skate/,REDIRECT,"Vertex AI URL resolved to final destination."
